tconst,genres,numvotes,averagerating,start_year,runtime_minutes,Adult,Sport,Sci-Fi,Fantasy,News,Western,Thriller,Family,Game-Show,Mystery,Music,Reality-TV,Animation,Drama,Adventure,Romance,History,Horror,War,Short,Biography,Documentary,Crime,Musical,Comedy,Action,release_date,movie,production_budget,domestic_gross,worldwide_gross,year,month,roi
tt0431021,"['Horror', 'Mystery', 'Thriller']",53649,5.9,2012,92.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2012-08-31,the possession,14000000.0,"$49,130,588",82925064.0,2012,8,492.32188571428577
tt0433035,"['Action', 'Drama', 'Family']",283534,7.1,2011,127.0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,2011-10-07,real steel,110000000.0,"$85,463,309",263880341.0,2011,10,139.8912190909091
tt0435651,"['Drama', 'Romance', 'Sci-Fi']",104999,6.5,2014,97.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,2014-08-15,the giver,25000000.0,"$45,090,374",66540205.0,2014,8,166.16082
tt0435761,"['Adventure', 'Animation', 'Comedy']",682218,8.3,2010,103.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,2010-06-18,toy story 3,200000000.0,"$415,004,880",1068879522.0,2010,6,434.439761
tt0437086,"['Action', 'Adventure', 'Sci-Fi']",88207,7.5,2019,122.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,2019-02-14,alita: battle angel,170000000.0,"$85,710,210",402976036.0,2019,2,137.04472705882353
tt0443272,"['Biography', 'Drama', 'History']",228701,7.4,2012,150.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,2012-11-09,lincoln,65000000.0,"$182,207,973",273346281.0,2012,11,320.53274
tt0443465,"['Comedy', 'Drama', 'Romance']",45181,6.8,2014,95.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,2015-09-04,before we go,3000000.0,"$37,151",483938.0,2015,9,-83.86873333333334
tt4453750,"['Documentary', 'Drama', 'News']",22,7.0,2014,84.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,2015-09-04,before we go,3000000.0,"$37,151",483938.0,2015,9,-83.86873333333334
tt0443533,"['Drama', 'Romance', 'War']",1024,6.3,2016,134.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,2016-11-18,the history of love,20000000.0,$0,476624.0,2016,11,-97.61688
tt0446029,"['Action', 'Comedy', 'Fantasy']",339338,7.5,2010,112.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2010-08-13,scott pilgrim vs. the world,85000000.0,"$31,611,316",48056764.0,2010,8,-43.4626305882353
tt0448115,"['Action', 'Adventure', 'Comedy']",109051,7.4,2019,132.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,2019-04-05,shazam!,85000000.0,"$139,606,856",362899733.0,2019,4,326.9408623529412
tt0448694,"['Action', 'Adventure', 'Animation']",133355,6.6,2011,90.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,2011-10-28,puss in boots,130000000.0,"$149,260,504",554987477.0,2011,10,326.9134438461538
tt0451279,"['Action', 'Adventure', 'Fantasy']",487527,7.5,2017,141.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,2017-06-02,wonder woman,150000000.0,"$412,563,408",821133378.0,2017,6,447.42225199999996
tt4028068,['Sci-Fi'],20,4.2,2014,60.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2017-06-02,wonder woman,150000000.0,"$412,563,408",821133378.0,2017,6,447.42225199999996
tt4283448,"['Documentary', 'Drama', 'Sport']",13,6.9,2016,75.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,2017-06-02,wonder woman,150000000.0,"$412,563,408",821133378.0,2017,6,447.42225199999996
tt0453562,"['Biography', 'Drama', 'Sport']",77703,7.5,2013,128.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2013-04-12,42,31000000.0,"$95,020,213",97470701.0,2013,4,214.42161612903226
tt0454876,"['Adventure', 'Drama', 'Fantasy']",535836,7.9,2012,127.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,2012-11-21,life of pi,120000000.0,"$124,987,022",620912003.0,2012,11,417.42666916666667
tt0455407,"['Horror', 'Thriller']",104465,6.5,2010,101.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2010-02-26,the crazies,19000000.0,"$39,123,589",56445534.0,2010,2,197.08175789473685
